FILE    	 VALUE 	 TIME           	 MOD_VALUE 	 MOD_TIME
30x100-0.75_1	56328	 0.21400070190429688	 56328	 0.21300554275512695
30x100-0.75_10	59571	 0.20099401473999023	 59269	 0.006999969482421875
30x100-0.75_2	59007	 0.20799970626831055	 58904	 0.09400010108947754
30x100-0.75_3	57437	 0.2080061435699463	 57437	 0.207993745803833
30x100-0.75_4	60112	 0.20999932289123535	 60112	 0.2110002040863037
30x100-0.75_5	58201	 0.21099853515625	 58201	 0.10900139808654785
30x100-0.75_6	59158	 0.20900678634643555	 59042	 0.05099940299987793
30x100-0.75_7	57611	 0.21399426460266113	 57578	 0.021005630493164062
30x100-0.75_8	58667	 0.21299386024475098	 58667	 0.21300697326660156
30x100-0.75_9	57794	 0.20499324798583984	 57794	 0.11699986457824707
30x250-0.25_1	54427	 0.7219996452331543	 53378	 0.07399988174438477
30x250-0.25_10	53928	 0.7240002155303955	 52838	 0.02800464630126953
30x250-0.25_2	55501	 0.7499961853027344	 55501	 0.31400537490844727
30x250-0.25_3	54559	 0.748999834060669	 54559	 0.24100184440612793
30x250-0.25_4	55022	 0.7869913578033447	 55022	 0.7749996185302734
30x250-0.25_5	54453	 0.7590076923370361	 54365	 0.04199934005737305
30x250-0.25_6	55414	 0.7469937801361084	 55223	 0.054000139236450195
30x250-0.25_7	52951	 0.7239997386932373	 52838	 0.09100008010864258
30x250-0.25_8	53495	 0.7610063552856445	 53495	 0.7609999179840088
30x250-0.25_9	53297	 0.735992431640625	 53297	 0.7340083122253418
30x250-0.50_1	105004	 1.5149993896484375	 104814	 0.2199997901916504
30x250-0.50_10	101032	 1.450000286102295	 98871	 0.04199981689453125
30x250-0.50_2	105746	 1.5150001049041748	 105675	 0.8769998550415039
30x250-0.50_3	103139	 1.4969940185546875	 103139	 1.5010063648223877
30x250-0.50_4	104179	 1.526993751525879	 104179	 1.5259997844696045
30x250-0.50_5	103939	 1.535998821258545	 102976	 0.031002521514892578
30x250-0.50_6	104746	 1.5539970397949219	 104746	 0.2570018768310547
30x250-0.50_7	103493	 1.5280060768127441	 103493	 0.3979945182800293
30x250-0.50_8	101849	 1.5390052795410156	 101849	 1.5370004177093506
30x250-0.50_9	105145	 1.5329952239990234	 104541	 0.1560046672821045
30x250-0.75_1	148431	 2.321000099182129	 148431	 2.2979934215545654
30x250-0.75_10	146435	 2.2380001544952393	 146404	 0.21600627899169922
30x250-0.75_2	148312	 2.2669920921325684	 148312	 1.173001766204834
30x250-0.75_3	151986	 2.289006233215332	 151986	 2.2839999198913574
30x250-0.75_4	151596	 2.271993637084961	 151168	 0.25299930572509766
30x250-0.75_5	148254	 2.2800071239471436	 148254	 2.2789998054504395
30x250-0.75_6	147447	 2.3009936809539795	 147447	 2.314000129699707
30x250-0.75_7	145907	 2.338001251220703	 145907	 2.3209986686706543
30x250-0.75_8	151408	 2.295006275177002	 151408	 2.2969937324523926
30x250-0.75_9	147676	 2.2830002307891846	 147676	 2.289006233215332
30x500-0.25_1	110971	 5.262993574142456	 110971	 4.185006380081177
30x500-0.25_10	111631	 5.11699366569519	 111584	 0.182999849319458
30x500-0.25_2	111620	 5.2030065059661865	 111620	 0.0969998836517334
30x500-0.25_3	113018	 5.830992221832275	 113018	 5.40800142288208
30x500-0.25_4	109044	 5.171006202697754	 108710	 0.3099937438964844
30x500-0.25_5	110399	 5.085000276565552	 109970	 0.4360017776489258
30x500-0.25_6	111592	 5.333998203277588	 111592	 5.297999620437622
30x500-0.25_7	108804	 5.144006729125977	 107841	 0.0959935188293457
30x500-0.25_8	110112	 5.229006290435791	 110112	 5.214993715286255
30x500-0.25_9	111611	 5.210006475448608	 111611	 5.199000120162964
30x500-0.50_1	213910	 10.710999727249146	 213910	 10.700993776321411
30x500-0.50_10	211670	 10.75600004196167	 211670	 10.736006021499634
30x500-0.50_2	209855	 10.577000141143799	 209855	 10.599993705749512
30x500-0.50_3	212639	 10.586006164550781	 212639	 10.597994089126587
30x500-0.50_4	211525	 10.494999885559082	 211525	 10.53499984741211
30x500-0.50_5	209020	 10.528000116348267	 209020	 10.493005990982056
30x500-0.50_6	210709	 10.780993938446045	 210709	 10.792999982833862
30x500-0.50_7	211886	 10.749000072479248	 211886	 10.789999961853027
30x500-0.50_8	212511	 10.764001607894897	 212511	 10.743998289108276
30x500-0.50_9	213410	 10.7739999294281	 213410	 10.952000141143799
30x500-0.75_1	298242	 15.823005437850952	 298242	 15.78899359703064
30x500-0.75_10	297412	 15.87600040435791	 297412	 15.878999710083008
30x500-0.75_2	295311	 15.741008281707764	 295311	 15.742997884750366
30x500-0.75_3	301047	 15.802000045776367	 301047	 15.844000101089478
30x500-0.75_4	299323	 15.86899995803833	 299323	 15.828993797302246
30x500-0.75_5	301149	 15.958999872207642	 301149	 15.989001750946045
30x500-0.75_6	294796	 15.897998332977295	 294796	 15.8829984664917
30x500-0.75_7	300359	 15.706008195877075	 300359	 5.995994806289673
30x500-0.75_8	304129	 15.933998584747314	 304129	 15.904999732971191
30x500-0.75_9	300221	 15.902003049850464	 300221	 15.958995342254639
5x100-0.25_1	23461	 0.07400035858154297	 22756	 0.010999679565429688
5x100-0.25_10	24128	 0.07500267028808594	 23795	 0.007000446319580078
5x100-0.25_2	24106	 0.08199906349182129	 23552	 0.00899958610534668
5x100-0.25_3	23335	 0.07899975776672363	 23335	 0.02700018882751465
5x100-0.25_4	20529	 0.06599998474121094	 20446	 0.011998176574707031
5x100-0.25_5	23263	 0.07600188255310059	 22638	 0.008999824523925781
5x100-0.25_6	24529	 0.07999992370605469	 24339	 0.010999917984008789
5x100-0.25_7	24748	 0.0839986801147461	 24748	 0.07100176811218262
5x100-0.25_8	23120	 0.07499980926513672	 23062	 0.013999700546264648
5x100-0.25_9	23276	 0.0800018310546875	 23270	 0.020999908447265625
5x100-0.50_1	42607	 0.1419985294342041	 42607	 0.14299988746643066
5x100-0.50_10	44116	 0.14499998092651367	 44116	 0.14600014686584473
5x100-0.50_2	42107	 0.1359999179840088	 41743	 0.006000041961669922
5x100-0.50_3	41435	 0.14399981498718262	 41435	 0.14500212669372559
5x100-0.50_4	44114	 0.14200448989868164	 44114	 0.11799383163452148
5x100-0.50_5	42020	 0.14299964904785156	 41351	 0.01399993896484375
5x100-0.50_6	42781	 0.14099955558776855	 42781	 0.045999765396118164
5x100-0.50_7	41331	 0.1400001049041748	 41222	 0.006000041961669922
5x100-0.50_8	44300	 0.13500022888183594	 44241	 0.005998134613037109
5x100-0.50_9	42456	 0.14000153541564941	 42456	 0.14100003242492676
5x100-0.75_1	59798	 0.20299839973449707	 59798	 0.014000177383422852
5x100-0.75_10	59806	 0.20200133323669434	 59806	 0.20200014114379883
5x100-0.75_2	61495	 0.2049999237060547	 61495	 0.20100641250610352
5x100-0.75_3	59511	 0.20699334144592285	 59511	 0.20400643348693848
5x100-0.75_4	60186	 0.2059938907623291	 60186	 0.20400619506835938
5x100-0.75_5	60981	 0.207000732421875	 60981	 0.2099931240081787
5x100-0.75_6	58051	 0.20000004768371582	 58051	 0.20000696182250977
5x100-0.75_7	60901	 0.19899916648864746	 60901	 0.19999384880065918
5x100-0.75_8	61070	 0.1979997158050537	 60386	 0.0060002803802490234
5x100-0.75_9	59073	 0.1990063190460205	 59073	 0.03299999237060547
5x250-0.25_1	57025	 0.8019938468933105	 57025	 0.15899991989135742
5x250-0.25_10	57639	 0.8050060272216797	 57294	 0.04699993133544922
5x250-0.25_2	58930	 0.775993824005127	 57945	 0.02499842643737793
5x250-0.25_3	61153	 0.8350017070770264	 60627	 0.02499985694885254
5x250-0.25_4	57216	 0.7610063552856445	 56998	 0.024000167846679688
5x250-0.25_5	57863	 0.823993444442749	 57863	 0.024000167846679688
5x250-0.25_6	58058	 0.8109989166259766	 56868	 0.22600102424621582
5x250-0.25_7	59175	 0.8449997901916504	 59070	 0.04600024223327637
5x250-0.25_8	59589	 0.8020000457763672	 59432	 0.024011850357055664
5x250-0.25_9	61246	 0.8519878387451172	 61246	 0.03500652313232422
5x250-0.50_1	106347	 1.4609935283660889	 105924	 0.08099985122680664
5x250-0.50_10	105370	 1.4340002536773682	 105338	 0.29900026321411133
5x250-0.50_2	108891	 1.5159997940063477	 108891	 1.5160000324249268
5x250-0.50_3	107949	 1.500000000000000	 107949	 1.5109999179840088
5x250-0.50_4	108118	 1.5219998359680176	 108118	 1.5160014629364014
5x250-0.50_5	109586	 1.4779984951019287	 109586	 1.4739999771118164
5x250-0.50_6	108884	 1.482006549835205	 108816	 0.14099979400634766
5x250-0.50_7	107623	 1.4940001964569092	 107623	 1.4949917793273926
5x250-0.50_8	106802	 1.4750080108642578	 106802	 1.4739952087402344
5x250-0.50_9	108888	 1.4569988250732422	 108888	 0.6399984359741211
5x250-0.75_1	148773	 2.13700795173645	 148773	 2.14400053024292
5x250-0.75_10	154592	 2.132999897003174	 154592	 2.131993055343628
5x250-0.75_2	155480	 2.1459999084472656	 155480	 2.1550002098083496
5x250-0.75_3	148037	 2.1240060329437256	 148037	 2.1179935932159424
5x250-0.75_4	151849	 2.1440064907073975	 151849	 2.1499998569488525
5x250-0.75_5	148870	 2.113992214202881	 148870	 2.107001543045044
5x250-0.75_6	148844	 2.1030001640319824	 148844	 2.107999563217163
5x250-0.75_7	147693	 2.1270065307617188	 147693	 2.124995231628418
5x250-0.75_8	149204	 2.15199875831604	 149204	 2.155005931854248
5x250-0.75_9	154757	 2.1219940185546875	 154757	 2.127999782562256
5x500-0.25_1	119894	 5.579999923706055	 119894	 5.556999921798706
5x500-0.25_10	117909	 5.618000268936157	 117909	 5.64300012588501
5x500-0.25_2	115507	 5.49600625038147	 115039	 0.15799355506896973
5x500-0.25_3	118310	 5.4710001945495605	 118310	 5.471006393432617
5x500-0.25_4	118457	 5.533999443054199	 118457	 5.529000282287598
5x500-0.25_5	119746	 5.395999908447266	 119123	 0.497999906539917
5x500-0.25_6	120378	 5.706000089645386	 120378	 5.700999975204468
5x500-0.25_7	117453	 5.476000070571899	 117453	 5.474993944168091
5x500-0.25_8	118659	 5.5809996128082275	 118657	 0.34800028800964355
5x500-0.25_9	116468	 5.51399827003479	 116468	 1.2960076332092285
5x500-0.50_1	213630	 10.137994050979614	 213630	 10.108999729156494
5x500-0.50_10	217003	 10.20500659942627	 217003	 10.192999839782715
5x500-0.50_2	212471	 9.82200002670288	 212471	 9.87099552154541
5x500-0.50_3	215537	 10.047998428344727	 215537	 10.130006074905396
5x500-0.50_4	222768	 10.272993564605713	 222768	 10.24399995803833
5x500-0.50_5	216381	 10.210999250411987	 216381	 10.318000316619873
5x500-0.50_6	219378	 10.026005983352661	 219162	 3.1039936542510986
5x500-0.50_7	218185	 10.127006530761719	 218052	 1.5159938335418701
5x500-0.50_8	213478	 10.041999816894531	 213478	 10.057006359100342
5x500-0.50_9	216660	 10.205999851226807	 216660	 10.198993682861328
5x500-0.75_1	293677	 14.437000036239624	 293677	 14.440000057220459
5x500-0.75_10	298703	 14.299000024795532	 298703	 14.269999980926514
5x500-0.75_2	305043	 14.37846064567566	 305043	 14.39299988746643
5x500-0.75_3	299323	 14.636006355285645	 299323	 14.631993770599365
5x500-0.75_4	306049	 14.578999757766724	 306049	 14.558000087738037
5x500-0.75_5	298363	 14.445000171661377	 298363	 14.450006246566772
5x500-0.75_6	301641	 14.513993501663208	 301641	 14.505007266998291
5x500-0.75_7	299648	 14.530998945236206	 299648	 14.575000524520874
5x500-0.75_8	303216	 14.432993412017822	 303216	 14.377999782562256
5x500-0.75_9	302071	 14.472000360488892	 302071	 14.468005657196045
